,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,StackedEnsemble_AllModels_AutoML_20190416_214611,0.851576024691132,0.15841396618571274,0.3511420649180393,0.20183137850000632,0.04073590534721281
1,StackedEnsemble_BestOfFamily_AutoML_20190416_214611,0.8503317829887291,0.15873062440275384,0.3605262390405713,0.2019009246389916,0.04076398337007976
2,XRT_1_AutoML_20190416_214611,0.8475177422432796,0.1753216208536215,0.3423660184525067,0.20166563242575544,0.0406690273016799
3,DRF_1_AutoML_20190416_214611,0.845878916369773,0.17387043440668834,0.3669860234029727,0.20175407359403755,0.040704706211788316
4,GBM_4_AutoML_20190416_214611,0.8453492837875108,0.1591361085081289,0.3432494765059819,0.20229622140977288,0.04092376119667185
5,GBM_3_AutoML_20190416_214611,0.8389181261366162,0.1620467119523418,0.3952503547219236,0.2045784815469225,0.04185235511204452
6,GBM_2_AutoML_20190416_214611,0.8384143199194921,0.16400450180681034,0.3805902597396388,0.20666585384345013,0.0427107751448423
7,GBM_5_AutoML_20190416_214611,0.8383489984253857,0.1641481910257432,0.3675233654753902,0.2065587712691161,0.04266652598820702
8,GBM_1_AutoML_20190416_214611,0.83153619113006,0.16745971241501706,0.4021960162545763,0.2090580442548899,0.04370526586767951
9,DeepLearning_1_AutoML_20190416_214611,0.5827945882418512,0.2201645646406309,0.499736425935688,0.2329604123033688,0.054270553700555585
10,GLM_grid_1_AutoML_20190416_214611_model_1,0.5225910515546498,0.22097924308847253,0.5,0.2335166566542058,0.05453002893495823
